"","obsTime","Values","geo","Country"
"120","1972",16.3883672137298,"FR","France"
"121","1973",17.6952450649158,"FR","France"
"122","1974",19.4019842626049,"FR","France"
"123","1975",21.6231825779196,"FR","France"
"124","1976",24.517332549375,"FR","France"
"125","1977",26.912862174522,"FR","France"
"126","1978",29.2876701962036,"FR","France"
"127","1979",32.6523878993546,"FR","France"
"128","1980",36.8765753600725,"FR","France"
"129","1981",41.839957331351,"FR","France"
"130","1982",46.3669378701201,"FR","France"
"131","1983",50.9338670093036,"FR","France"
"132","1984",54.9783331086352,"FR","France"
"133","1985",58.6048301286705,"FR","France"
"134","1986",61.8594609319494,"FR","France"
"135","1987",65.3968327394302,"FR","France"
"136","1988",69.3275937737939,"FR","France"
"137","1989",73.0309210079829,"FR","France"
"138","1990",76.6521226574199,"FR","France"
"139","1991",80.4483792497083,"FR","France"
"140","1992",84.5624967178678,"FR","France"
"141","1993",88.225743474597,"FR","France"
"142","1994",90.7268998503061,"FR","France"
"143","1995",93.1085756227446,"FR","France"
"144","1996",95.0946236399884,"FR","France"
"145","1997",96.4517162123655,"FR","France"
"146","1998",98.3678795398547,"FR","France"
"147","1999",100.114966350557,"FR","France"
"148","2000",100,"FR","France"
"149","2001",100.368579435006,"FR","France"
"150","2002",102.896780749441,"FR","France"
"151","2003",105.752994090793,"FR","France"
"152","2004",108.728681272489,"FR","France"
"153","2005",112.645544495129,"FR","France"
"154","2006",116.542112178605,"FR","France"
"155","2007",120.185076922021,"FR","France"
"156","2008",122.867702875336,"FR","France"
"157","2009",125.358718244388,"FR","France"
"158","2010",127.363918866401,"FR","France"
"159","2011",128.872051233488,"FR","France"
"160","2012",130.908821191329,"FR","France"
"161","2013",133.006454096424,"FR","France"
"162","2014",134.389472343372,"FR","France"
"163","2015",135.257372087466,"FR","France"
"164","2016",135.696982528084,"FR","France"
"165","2017",135.952823996456,"FR","France"
"166","2018",135.594412619807,"FR","France"
"167","2019",136.161358801459,"FR","France"
"168","1995",86.7377113818305,"LU","Luxembourg"
"169","1996",89.3635069334347,"LU","Luxembourg"
"170","1997",92.2112219737749,"LU","Luxembourg"
"171","1998",94.69180638908,"LU","Luxembourg"
"172","1999",96.9996234514275,"LU","Luxembourg"
"173","2000",100,"LU","Luxembourg"
"174","2001",103.010062032136,"LU","Luxembourg"
"175","2002",105.77586361918,"LU","Luxembourg"
"176","2003",107.6524937902,"LU","Luxembourg"
"177","2004",109.383909438426,"LU","Luxembourg"
"178","2005",112.642851146275,"LU","Luxembourg"
"179","2006",115.210970659182,"LU","Luxembourg"
"180","2007",117.206766143356,"LU","Luxembourg"
"181","2008",120.712958604684,"LU","Luxembourg"
"182","2009",123.75857923032,"LU","Luxembourg"
"183","2010",126.054648410682,"LU","Luxembourg"
"184","2011",128.457955535977,"LU","Luxembourg"
"185","2012",130.172675577921,"LU","Luxembourg"
"186","2013",131.986726010911,"LU","Luxembourg"
"187","2014",133.251030428775,"LU","Luxembourg"
"188","2015",135.462449837408,"LU","Luxembourg"
"189","2016",136.614998675696,"LU","Luxembourg"
"190","2017",138.212256830442,"LU","Luxembourg"
"191","2018",139.956388909011,"LU","Luxembourg"
"192","2019",141.844922742672,"LU","Luxembourg"
"193","1970",0.000855332450854974,"IL","Israel"
"194","1971",0.000969264404965954,"IL","Israel"
"195","1972",0.00117216643911236,"IL","Israel"
"196","1973",0.00154296349935398,"IL","Israel"
"197","1974",0.00221959696294063,"IL","Israel"
"198","1975",0.00292662307893371,"IL","Israel"
"199","1976",0.00364572195239992,"IL","Israel"
"200","1977",0.00447846429094574,"IL","Israel"
"201","1978",0.00660452777676041,"IL","Israel"
"202","1979",0.0143459114026748,"IL","Israel"
"203","1980",0.0313981645677179,"IL","Israel"
"204","1981",0.0721948471809998,"IL","Israel"
"205","1982",0.168733727752349,"IL","Israel"
"206","1983",0.415659375957321,"IL","Israel"
"207","1984",2.08133707038727,"IL","Israel"
"208","1985",7.3551874867403,"IL","Israel"
"209","1986",10.6332983476256,"IL","Israel"
"210","1987",14.6751239873095,"IL","Israel"
"211","1988",19.5159228170602,"IL","Israel"
"212","1989",26.8241118014427,"IL","Israel"
